STIs,TempRels,VerSupp,HorSupp
"[1, 33]",['f'],0.10365853658536585,1.0
"[1, 33, 6]","['f', 'c', 'c']",0.06707317073170732,4.2727272727272725
"[1, 33, 6, 999]","['f', 'c', 'c', 'b', 'b', 'b']",0.06707317073170732,4.2727272727272725
"[1, 33, 15]","['f', 'c', 'c']",0.054878048780487805,2.2222222222222223
"[1, 33, 15, 999]","['f', 'c', 'c', 'b', 'b', 'b']",0.054878048780487805,2.2222222222222223
"[1, 33, 999]","['f', 'b', 'b']",0.10365853658536585,1.0
"[1, 36]",['c'],0.054878048780487805,2.3333333333333335
"[1, 36, 999]","['c', 'b', 'b']",0.054878048780487805,2.3333333333333335
"[1, 999]",['b'],0.5121951219512195,1.2261904761904763
"[2, 4]",['b'],0.11585365853658537,2.6842105263157894
"[2, 4, 6]","['b', 'b', 'b']",0.06097560975609756,9.6
"[2, 4, 6, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,8.4
"[2, 4, 17]","['b', 'b', 'b']",0.054878048780487805,5.0
"[2, 4, 999]","['b', 'b', 'b']",0.11585365853658537,2.5789473684210527
"[2, 4]",['c'],0.17073170731707318,2.4285714285714284
"[2, 4, 6]","['c', 'c', 'b']",0.06707317073170732,3.6363636363636362
"[2, 4, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06707317073170732,3.6363636363636362
"[2, 4, 21]","['c', 'b', 'b']",0.06097560975609756,1.6
"[2, 4, 21, 999]","['c', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,1.3333333333333333
"[2, 4, 999]","['c', 'b', 'b']",0.17073170731707318,2.4285714285714284
"[2, 5]",['b'],0.21951219512195122,3.9722222222222223
"[2, 5, 10]","['b', 'b', 'b']",0.10365853658536585,10.117647058823529
"[2, 5, 10, 20]","['b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,2.0
"[2, 5, 10, 20, 999]","['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,2.0
"[2, 5, 10, 27]","['b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,3.2
"[2, 5, 10, 27, 999]","['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",0.06097560975609756,3.2
"[2, 5, 10, 999]","['b', 'b', 'b', 'b', 'b', 'b']",0.0975609756097561,10.0
"[2, 5, 11]","['b', 'b', 'b']",0.10365853658536585,6.9411764705882355
"[2, 5, 11, 27]","['b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,6.0
"[2, 5, 11, 27, 999]","['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",0.054878048780487805,6.0
